,Hospital,State,City,LocalAddress,Pincode,Hospital Type,Hospital Ownership,User Ratings(out of 5)
320,Annamalai Hospital,Tamilnadu,Chennai,"# 27, Govindan Raod, West Mambalam, Near Srinivasa Theatre",600033,Dental Clinic,Government,4.1
321,Annammal Hospital,Tamilnadu,Kuzhithurai,Kuzhithurai,629163,General Hospital,Proprietary,3.3
322,Annapoorna Hospital,Andhra Pradesh,Vizag,"47-9-32, 3Rd Lane, Dwarakanagar, Visakahpatnam-530016",530016,Pediatric Hospital,Voluntary non-profit ,3.5
323,Annapoorna Orthopaedic & Speciality Hospital,Karnataka,Mysore,"#953, Kantaraj Urs Road, Lakshmipuram, Mysore-570004",570004,Orthopedic Hospital or Clinic,Government,4.1
324,Annapurna Hospital,Karnataka,Chickmangalur,"K.M. Road, Chikmagalur",577101,Cancer Treatment Center or Oncology Hospital,Proprietary,3.5
325,Annapurna Hospital,Maharashtra,Kheda,"Mina Bazar,Kapadvanj City,",387620,Cancer Treatment Center or Oncology Hospital,Proprietary,4.9
326,Annapurna Laparoscopic Surgery And Trauma Care Center,Orissa,Bhubaneswar,"Plot No-2764/4805, Nageswar Tangi, Old Town, Bhubaneswar, Khurdur, Orissa",751002,Psychiatric Hospital or Mental Health Clinic,Government,4.9
327,Annapurna Multi Speciality Hospital,Karnataka,Gangavathi,"Sri Krishnadevaraya Marga-Gangavathi, Koppal Dist, Karnataka-583227, Near Bus Stand",583227,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.9
328,Annapurna Multispeciality Hospital,Andhra Pradesh,Gudivada,"10-165, Eluru Road, Gudivada, Krishna-521301, Opp.Bank Of Baroda",521301,Cancer Treatment Center or Oncology Hospital,Proprietary,3.6
329,Ano Surge Hospital & Research Centre,Gujarat,Patan,"Doctor House,Opp Shantaba Hall,Bus Station Road",384265,Pediatric Hospital,Proprietary,3.7
330,Ansari Hospital,Delhi,Delhi,"Rz-20F/B, Street No-6, Sagarpur Main.",110046,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4.9
331,Ansuya General Hospital,Gujarat,Ahmedabad,"#4,Daxini Society,Maninagar",380008,Cancer Treatment Center or Oncology Hospital,Proprietary,3.3
332,Anu Hospital,Tamilnadu,Tanjore,"#69,Trichy Road,Very Near To Railway Station",613007,Orthopedic Hospital or Clinic,Proprietary,4.8
333,Anu Hospitals,Andhra Pradesh,Vijayawada,"33-18-1,Chalasani Venkata Krishwaiah Street Near Puspha Hotel, Krishna Suryaraopet",520002,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.7
334,Anuchandra Accident Hospital,Maharashtra,Baramati,"Geetai Building, Cinema Road,",413102,General Hospital,Government,5
335,Anugraha Hospital,Karnataka,Bangalore,"No 18/2,1St Cross,M.C. Layout,Vijayanagar",560079,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.6
336,Anugraha Hospital,Karnataka,Davangere,"# 2698,2Nd Main,2Nd Cross,M.C. B Block",577004,General Hospital,Private,3.5
337,Anugraha Nursing Home,Karnataka,Bangalore,"No 2,Vinayaka Circle, Palace Guttahalli Main Road, Bangalore-560003Circle Palace Guttahalli Main",560003,Maternity Hospital or Birthing Center,Proprietary,3.9
338,Anugrahaa Hospital,Karnataka,Bangalore,"55/3A, Govindana Setty Palya Road Konappana Agrahara Electronic City Infosysbangalore South Taluk",560100,Pediatric Hospital,Government,3.3
339,Anuj Hospital,Haryana,Faridabad,"#2159 & 2161, Sector-16,Faridabad-121002.",121002,Pediatric Hospital,Government,3.6
340,Anukrushna Hospitals,Andhra Pradesh,Hyderabad,"10-191/2, Vasanthapuri Colonymalkajgiri",500047,Dental Clinic,Voluntary non-profit ,4.6
341,Anupam Jyoti Medical Centre,Uttar Pradesh,Noida,"C-38A, Rajat Vihar, Sector-62.",201301,Cardiology Center,Voluntary non-profit ,4.1
342,Anupama Hospital,Andhra Pradesh,Hyderabad,"16-31/494 & 495, 6Th Phase, Kphb Colony,Kukatpally, Hyderabad-500072",500072,Dental Clinic,Private,4.8
343,Anupama Maternity & Nursing Home,Maharashtra,Mumbai,"1/18, Jaykar Smruti,Aarey Road, Goregaon West.",400062,Dental Clinic,Government,3.4
344,Anupama Surgical & Children Hospital,Andhra Pradesh,Vizag,"47-9-21, Dwarakanagar, Visakha Patnam",530016,General Hospital,Proprietary,3.7
345,Anuradha Hospital & Trauma Centre,Haryana,Faridabad,"D-635 60 Fit Road,Ballabhgarh",121004,General Hospital,Voluntary non-profit ,4.3
346,Anuradha Nursing Home,Karnataka,Shimoga,"1St Cross, Raghavendra Extension, Thirthahalli.",577432,General Hospital,Proprietary,4.5
347,Anurag Nursing Home,Rajasthan,Jaipur,"60/181,Heerapath,Mansarower",302020,Orthopedic Hospital or Clinic,Proprietary,3.3
348,Anusha Hospital,Andhra Pradesh,Hyderabad,"12-2-454,Gudi Malkapur,Mehdipatnam",500028,Psychiatric Hospital or Mental Health Clinic,Private,4.6
349,Anvitha Hospital,Andhra Pradesh,Hyderabad,"8-3-23A/A/516,517,A-Block Sri Keishna Nagar,Yousufguda",500045,Pediatric Hospital,Private,3.2
350,Anwar Memorial Hospital,Kerala,Aluva,"Santhosh Lane, Aluva,Ernakulam Dist.",683101,Dental Clinic,Voluntary non-profit ,4.4
351,Aparna Hospital,Tamilnadu,Coimbatore,"450-D,Palaghat Main Road,Kuniamuthu",641008,Maternity Hospital or Birthing Center,Government,4.5
352,Aparna Hospitals Pvt Ltd,Andhra Pradesh,Warangal,"#2-5-680,Subedari,Hanamkonda",506001,Pediatric Hospital,Voluntary non-profit ,4.7
353,Apex Citi Hospital (A Unit Of Siddhartha Healthcare Pvt Ltd.),Delhi,Delhi,"D-440, West Vinod Nagar, Hanuman Road, I.P. Extension, Delhi-110092, Near Punjab National Bank",110092,Maternity Hospital or Birthing Center,Proprietary,3.8
354,Apex Hospital,Punjab,Mohali,"Scf-43,44,Ph 3B-2",160060,Eye Hospital or Ophthalmology Clinic,Government,4.7
355,Apex Hospital,Andhra Pradesh,Rajamundry,"75-6-23, Prakash Nagar,East Godavari, Rajamundry.",533103,Cardiology Center,Proprietary,4.2
356,Apex Hospital,Karnataka,Bidar,"Opp Ganesh Maidan, Bidar, Karnataka",585407,Eye Hospital or Ophthalmology Clinic,Government,3.6
357,Apex Hospital,Madhya Pradesh,Gwalior,"#34,Tagore Nagar,Gwalior",474011,Pediatric Hospital,Private,4.2
358,Apex Hospital,Maharashtra,Mumbai,"A-Wing, Vaishali Heights, Chandavarkar Road, Borivali (W), Mumbai-400092",400092,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.3
359,Apex Hospital,Maharashtra,Mumbai,"Gupte Road, Opp.Shivsena Shakha",421202,Eye Hospital or Ophthalmology Clinic,Government,3.6
360,Apex Hospital,Maharashtra,Mumbai,"Parnaka, Shivtirth, Apt. Ground Floor, Kalyan, Thane, Maharashtra.",421301,Maternity Hospital or Birthing Center,Proprietary,4.8
361,Apex Hospital & Trauma Centre,Haryana,Rewari,"Plot No 5, Sector 6, Dharuhera, Rewari, Haryana",123106,General Hospital,Voluntary non-profit ,3.1
362,Apex Hospital (P) Ltd,Rajasthan,Jaipur,"Sp 4 & 6 , Mia, Malviya Nagar ,Industrial Area, Jaipur",302017,Orthopedic Hospital or Clinic,Proprietary,4.3
363,Apex Hospital (Steel City Critical Care Pvt Ltd),Andhra Pradesh,Vizag,"16-1-5, Coastal Battery Road, Maharanipeta",530002,General Hospital,Government,3.7
364,Apex Institute Of Medical Sciences.,West Bengal,Kolkata,"1219, Survey Park, Santoshpur, Kolkata-700075. Hi-Land Park, Big Bazar",700075,Cancer Treatment Center or Oncology Hospital,Private,4.9
365,Apex Kidney Care Pvt Ltd,Maharashtra,Mira Road,"101, Eden Rose Shopping Complex,Opp. Cinemax Multiplex,Beverly Park, Mira Road (E),Thane",401107,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.7
366,Apex Kidney Care Pvt Ltd,Maharashtra,Mumbai,"''Gaurav Plaza, Annex, R.R.T. Road, Mulund (W), Mumbai",400080,Dental Clinic,Voluntary non-profit ,3.9
367,Apex Kidney Care Pvt Ltd,Maharashtra,Mumbai,"C/O. Sushrut Hospital, 2Nd Fllor, Swastik Park, Near Kach Gujar Hall, Chembur (E). Mumbai",400071,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.9
368,Apex Kidney Care Pvt Ltd,Maharashtra,Mumbai,"Abhishek Commericial Complex, 3Rd Floor S.V. Road, Malad, Near Aditi Hotel, Mumbai, Maharashtra.",400064,Orthopedic Hospital or Clinic,Proprietary,3.5
369,Apex Research Centre & Hospital Pvt Ltd,Madhya Pradesh,Bhopal,"116-117, Sindhi Colony, Berasia Road,",462001,Cardiology Center,Voluntary non-profit ,4.2
370,Apex Welcare Pvt Ltd ( Apex Hosptial),Uttar Pradesh,Varanasi,"Near Dlw & Hydil, Varanasi-221004",221004,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,5
371,Apollo B.G.S Hospitals,Karnataka,Mysore,Adichunchanagiri Roadkuvempunagar Road,570023,Dental Clinic,Private,4.5
372,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,16-2-705/5/5Malakpet,500036,General Hospital,Private,4
373,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,"Opp Sai Baba Temple, Bhagyanagar Colony,Kukkatpally Housing Board",500072,Dental Clinic,Proprietary,4.2
374,Apollo Emergency & Clinic,Andhra Pradesh,Hyderabad,"Mehdipatnam, Meeraj Complex, Hyderabad-500028",500028,Maternity Hospital or Birthing Center,Proprietary,4.9
375,Apollo Emergency Hospital,Andhra Pradesh,Hyderabad,"3-5-836 Hyderguda, Hyderabad 500029",500029,Pediatric Hospital,Private,3.7
376,Apollo First Med Hospitals,Tamilnadu,Chennai,"No 154, Poonamallee High Road, Near Neyveli House, Kilpauk, Chennai - 6000No 154, Poonamallee High Road, Near Neyveli House, Kilpauk, Chennai - 6000",600010,Dental Clinic,Proprietary,4.7
377,Apollo Gleneagles Hospitals Ltd.,West Bengal,Kolkata,"58, Canal Circular Road,Kolkatta-700054",700054,Cardiology Center,Government,3.1
378,Apollo Hospital,Andhra Pradesh,Secunderabad,"Vikrampuri Colony, Rajivi Gandhi Marg, Kharkhana.",500003,Eye Hospital or Ophthalmology Clinic,Government,4
379,Apollo Hospital ( T.H.Road-Chennai),Tamilnadu,Chennai,"#645, T.H.Road, Tondiarpet",600081,Eye Hospital or Ophthalmology Clinic,Government,3.6
380,Apollo Hospital (Kakinada),Andhra Pradesh,Eastgodavari,"13-1-3, Main Road, Kakinada - 533001",533001,Dental Clinic,Private,4.4
381,Apollo Hospital International Ltd,Gujarat,Gandhinagar,"Plot No.1A, Gidc Estate-Bhat, Gandhinagar-382428",382428,Eye Hospital or Ophthalmology Clinic,Private,3.3
382,Apollo Hospital- Basheerbagh,Andhra Pradesh,Hyderabad,"Skylane Theatre Lane, Basheerbagh, Hyderabad-500016Basheerbagh",500016,Orthopedic Hospital or Clinic,Government,4
383,Apollo Hospitals,Andhra Pradesh,Hyderabad,"Jubilee Hills, Hyderabad-500033",500033,Cardiology Center,Proprietary,4.4
384,Apollo Hospitals,Andhra Pradesh,Secunderabad,#9-1-87/1 Next To Keys High School St. Johns Road,500003,Cancer Treatment Center or Oncology Hospital,Government,4.4
385,Apollo Hospitals,Andhra Pradesh,Vizag,"Waltair Main Road, Vishakapatnam-530002",530017,Psychiatric Hospital or Mental Health Clinic,Government,4.7
386,Apollo Hospitals,Karnataka,Bangalore,"No.154/11,Opp To Iimb,Bannerghatta Road,",560076,General Hospital,Government,3.7
387,Apollo Hospitals (Greams Road-Chennai),Tamilnadu,Chennai,"#21, Greams Lane,Greams Road, Chennai-600006",600006,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,4.9
388,Apollo Hospitals Bilaspur,Chattisgarh,Bilaspur,"Seepat Road,Bilaspur(C.G)",495006,Psychiatric Hospital or Mental Health Clinic,Government,3.7
389,Apollo Hospitals Enterprise Ltd,Orissa,Khurda,"Plt # 251,Sainik School Road,",751005,"ENT Clinic -Ear, Nose, and Throat",Government,3.8
390,Apollo Hospitals Enterprise Ltd,Andhra Pradesh,Hyderabad,"Dmrl Cross Road, Santhosh Nagar,Kanchanbag, Hyderabad -500058",500058,Eye Hospital or Ophthalmology Clinic,Proprietary,3.3
391,Apollo Hospitals Karaikudi,Tamilnadu,Karaikudi,"Madurai Main Road, Managiri Village Karaikodi, Tamilnadu-630307, Near, Chettinad Public School",630307,Cancer Treatment Center or Oncology Hospital,Private,4.8
392,Apollo Koramangala Cradle Limited,Karnataka,Bangalore,"#25. 46Th Cross, 5Th Block, Jayanagar, Bangalore, Karnataka",560011,Dental Clinic,Government,4.4
393,Apollo Koramangla Cradle Limited,Karnataka,Bangalore,"No.58, 5Th Cross, 18Th Main Koramangla, 6Th Block, Bangalore, Karnataka.",560095,Maternity Hospital or Birthing Center,Government,4.3
394,Apollo Nursing Home,Andhra Pradesh,Karimnagar,"H.No.3-3-111,Sawaran Street,Civil Hospital Road",505001,Cancer Treatment Center or Oncology Hospital,Private,4
395,Apollo Speciality Hospital (Chennai),Tamilnadu,Chennai,"No 320 5Th Floor, Padma Complex, Anna Salai, Near Lr Swami Building, Nandanam, Chennai, Tamil Nadu",600035,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.6
396,Apollo Speciality Hospital (Madurai),Tamilnadu,Madurai,"20,Lake View, Kk Nagar,",625020,"ENT Clinic -Ear, Nose, and Throat",Proprietary,4.9
397,Apollo Victor Hospital,Goa,Margao,"Malbhat, Margao, South Goa, Salcetemargao",403601,Maternity Hospital or Birthing Center,Proprietary,3.1
398,Apolo Hospital,Punjab,Amritsar,"#2509/3,Bhushanpura,Inside Suctan Wind Gate",143001,Pediatric Hospital,Voluntary non-profit ,3.1
399,Apoorva Health Services Pvt Ltd,Andhra Pradesh,Vizag,"50-17-62, Rajendranagar, Visakhapatnam-530016",530016,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4.6
400,Apoorva Hospital,Andhra Pradesh,Hyderabad,"46/A, Santoshnagar Colony,Mehdipatnam, Hyderabad-500028",500028,Cancer Treatment Center or Oncology Hospital,Private,4
401,Apoorva Hospital,Karnataka,Davangere,"3Rd Main Road, 9Th Cross, J.P. Extention.",577002,Eye Hospital or Ophthalmology Clinic,Government,4.5
402,Apoorva Multispeiality Hospital,Karnataka,Belgaum,"Shreem 4889/90, Off Dr S P M Road, Near Prakash Theatre, Shastrinagar, Belgum- 590002",590002,General Hospital,Proprietary,3.3
403,Appasamy Medicare Centre Pvt Ltd,Tamilnadu,Chennai,"23-25, Friends Avenue, Arumbakkam, Chennaiarumbakkam",600106,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.8
404,Apple Hospital,Andhra Pradesh,Hyderabad,"Plot # 266,Vivekanandanagar Colony,Kukatpally",500072,Orthopedic Hospital or Clinic,Private,4.6
405,Apple Hospital,Karnataka,Bangalore,#32 Maruthi Complex M S Nagar Bus Stop Banaswadi Main Road Bangalore,560033,Cancer Treatment Center or Oncology Hospital,Private,4.4
406,Appollo Medical Invstgations & Appollo Nursing Home,Madhya Pradesh,Indore,"# 584, M.G. Road, New Palasiaindore",452001,Dental Clinic,Private,3.4
407,Appusami Hospital,Tamilnadu,Salem,"# 8Z/A, Gandhi Road,Salem-636007.",636007,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.8
408,Apulki Vairagade Multispeciality Hospital,Maharashtra,Nagpur,"Manewada Cement Road,Plot # 151,Opp To Navdurga Mandir",440024,Cancer Treatment Center or Oncology Hospital,Proprietary,4.8
409,Arasan Eye Hospital,Tamilnadu,Erode,"#26, Annamalai Layout,Opp To Road Theatre",638011,Orthopedic Hospital or Clinic,Government,4.8
410,Aravali Hospital,Rajasthan,Udaipur,"# 332, Ambamata Schemeudaipur, Rajasthan",313004,Maternity Hospital or Birthing Center,Private,3.5
411,Aravind Eye Hospital (Salem),Tamilnadu,Salem,"64, Sankagiri Main Road, Nethimedu, Salem, Tamilnadu-636002, Opposite To Kaliamman Temple",636002,Pediatric Hospital,Government,4.7
412,Aravind Eye Hospital - Coimbatore,Tamilnadu,Coimbatore,"Avanashi Road, Coimbatore-641014Teelametu",641014,Orthopedic Hospital or Clinic,Proprietary,3.2
413,Aravind Eye Hospital - Pondicherry,Tamilnadu,Pondicherry,"Cuddalore Main Road,Abishekapakkam Post,Thavalakuppam, Pondicherry-605007Thavalakuppam",605007,Maternity Hospital or Birthing Center,Private,3.4
414,Aravind Eye Hospital - Theni,Tamilnadu,Theni,"371,Periakulam Road,Allinagaram",625531,Cardiology Center,Private,3.3
415,Aravind Eye Hospital - Tirunelveli,Tamilnadu,Tirunelveli,# 1. S.N. High Road,627001,Orthopedic Hospital or Clinic,Voluntary non-profit ,4.3
416,Aravind Eye Hospital Private Limited,Andhra Pradesh,Hyderabad,"# 12-2-824/A/1, Santosh Nagar Colony, Opp:St.Ann'S Womens College, Mehdipatnam. Hyderabad-500028",500028,Orthopedic Hospital or Clinic,Voluntary non-profit ,3.3
417,Aravind Eye Hospital- Madhurai,Tamilnadu,Madurai,"1- Anna Nagar, Madurai-625020Madhurai",625020,"ENT Clinic -Ear, Nose, and Throat",Voluntary non-profit ,3.7
418,Aravind Eye Hospital-Tirupur,Tamilnadu,Tirupur,"Dharapuram Main Road, K. Chettipalayam, Tirupur, Tamilnadu",641608,Cancer Treatment Center or Oncology Hospital,Voluntary non-profit ,5
419,Aravind Multispeciality Hospital,Andhra Pradesh,Hyderabad,Opp Police Station Hayata Nagar Opp Police Station,501505,Orthopedic Hospital or Clinic,Government,4.6
420,Aravind Nethralaya Meenakshi Hospital,Andhra Pradesh,Nellore,"16-2-269, Swathantra Park Street,Near Saibaba Temple, Gandhi Nagar,Nellore",524001,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.2
421,Aravind Sai Eye Hospital,Tamilnadu,Chennai,"# 1, Ganesan Street,Pammal Main Road Krishna Nagar",600075,Eye Hospital or Ophthalmology Clinic,Voluntary non-profit ,3.5
422,Aravinda Hospital,Karnataka,Mysore,"#644,4Th Main, Aravinda Nagar,",570023,Orthopedic Hospital or Clinic,Proprietary,3.5
423,Aravindam Orthopaedic And Physiotherapy Centre,Andhra Pradesh,Rajamundry,"D.No-6-18-3, Kokkondavari Street, T Nagar.Rajahundry-1",533101,Cardiology Center,Government,4.1
424,Archana Hospital,Rajasthan,Jaipur,"Airport Circlr, Sanganer",302011,Dental Clinic,Government,4.1
425,Archana Hospital,Andhra Pradesh,Himayatnagar,Ram Nagar,560048,Maternity Hospital or Birthing Center,Private,4.6
426,Archana Hospital,Karnataka,Mandya,"K.R. Road, Ashok Nagar, Mandya-571401Mandya",571401,Pediatric Hospital,Government,4.9
427,Argade Hospital & Maternity Home,Maharashtra,Pune,"Pune-Nashik Highway,Ambethan Chawk,Chakan Talkhed",410501,Psychiatric Hospital or Mental Health Clinic,Private,4.6
428,Arihant Fracture & Orthopaedic Hospital,Gujarat,Ahmedabad,"Upnishad, 1St Floor, Near Shreyas Rly Crossing. Ambavadi.",380015,Pediatric Hospital,Proprietary,3.2
429,Arihant Heart & Medical Hospital,Gujarat,Ahmedabad,"S-15, Shubh Complex,2Nd Floor, Nr.Rajasthan Hospitalrajasthan Hosp. Road,",380004,General Hospital,Proprietary,4.4
430,Arihant Heart Clinic,Maharashtra,Mumbai,"103, Lancelot, Next To Dattani Nagar, S V Road Borivali(West)S.V.Road, Borivili (W),",400092,Psychiatric Hospital or Mental Health Clinic,Government,4.7
431,Arihant Hospital,Haryana,Gurgaon,"Hno-122,Block-G,Oriental Villa,Sector-57",122002,General Hospital,Private,4
432,Arihant Hospital & Research Centre,Madhya Pradesh,Indore,"283-A, Gumasta Nagar",452009,Cancer Treatment Center or Oncology Hospital,Proprietary,3.7
433,Ark Nursing Home,Tamilnadu,Krishnagiri,"29-A, 4Th Cross,Co Operative Colony Near Employment Officeco-Ops Colony",635001,Cardiology Center,Government,4.7
434,Arneja Institute Of Cardialogy Pvt Ltd,Maharashtra,Nagpur,"123, Ramdaspeth Behind Somalwar School",440010,Psychiatric Hospital or Mental Health Clinic,Proprietary,3.2
435,Arogyadham,Uttar Pradesh,Bareilly,"B-51, Rajendranagar",243122,General Hospital,Government,3.2
436,Arogyalayam Hospital,Kerala,Aluva,"Arogayalayam Junction, By-Pass, Aluva, Ernakulam, Kerala-683101",683101,Cancer Treatment Center or Oncology Hospital,Private,3.4
437,Arogyam Superspeciality Hospital,Maharashtra,Nagpur,"#34, Sita Nagar Wardha Road Opp Green Wally Lawns",440025,Maternity Hospital or Birthing Center,Private,4
438,Arogyaseva Medical Academy Of India,Maharashtra,Pune,"32/2A,Erandwanabehind Mehendale Garage",411004,Maternity Hospital or Birthing Center,Private,4.4
439,Arokya Hospital,Tamilnadu,Chennai,"#32, Pillayar Koil Street",600078,Maternity Hospital or Birthing Center,Voluntary non-profit ,4.3
440,Arora Hospital,Punjab,Amritsar,G T Roa Chheharta Amritsar-143005,143005,Dental Clinic,Voluntary non-profit ,3.8
441,Arora Hospital(P) Ltd,Rajasthan,Bharatpur,"# 42, Krishnanagar,Bharatpur,",321001,Eye Hospital or Ophthalmology Clinic,Government,3.7
442,Arpan General Hospital,Maharashtra,Mumbai,"Arpan Shopping Arcade, 1St Floor, C.S.T. Road, Kurla West.",400070,Pediatric Hospital,Government,3.9
443,Arpan Hospital And Research Center,Madhya Pradesh,Indore,"15/2, Imli Bazar Near Rajnadaindore ( M.P )",452004,Orthopedic Hospital or Clinic,Voluntary non-profit ,3.2
444,Arpan Maternity Hospital & Endoscopy Centre,Gujarat,Porbandar,"Uganda Road, Porbandar, Near Railway Station",360575,Maternity Hospital or Birthing Center,Government,4.7
445,Artemis Medicare Services Ltd,Haryana,Gurgaon,"Sector-51,",122001,Dental Clinic,Private,4.6
446,Arthroscopy & Spinal Endoscopy Centre,Punjab,Chandigarh,"Sco66, Sector 20C, Chandigarh-160020",160020,Pediatric Hospital,Voluntary non-profit ,3.9
447,Arthur Astrvatham Hospital,Tamilnadu,Madurai,"No.42-A,Kuruvikaran Salai,",625020,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.6
448,Arul Hospital,Tamilnadu,Trichy,"#6A,T.V.K.Nagar,Puthur",620017,Eye Hospital or Ophthalmology Clinic,Private,3.2
449,Arul Mission Hospital,Tamilnadu,Tirunelveli,"7A1 & 2,North Main Road,Vallioor",627117,Eye Hospital or Ophthalmology Clinic,Private,3.9
450,Arumana Hospital,Kerala,Trivandrum,Perunthanni,695008,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.9
451,Arun Hospital,Tamilnadu,Madurai,"#186,Munichalai Road,",625009,Cardiology Center,Voluntary non-profit ,3.5
452,Arun Hospital (Pollachi),Tamilnadu,Pollachi,"49/84, New Scheme Roadpollachi Coimbatore",642002,"ENT Clinic -Ear, Nose, and Throat",Private,3.6
453,Arun Hospital (Theni),Tamilnadu,Theni,"51, Uthamapalayam Road,Bus Stand Bodinayakanur",625513,Cardiology Center,Private,4.4
454,Arun Kidney Centre,Andhra Pradesh,Vijayawada,"#29-23-9,Tadepallivani Street,Suryaraopet",520002,Orthopedic Hospital or Clinic,Voluntary non-profit ,4
455,Aruna Aspatal,Rajasthan,Chittorgarh,"#16, Rajeev Coloni, Meera Market, Chittorgarh, Rajasthan",312001,Dental Clinic,Voluntary non-profit ,3.5
456,Aruna Hospital,Karnataka,Tumkur,"Dr.Radhakrishan Road, Tumkur",572102,General Hospital,Private,3.2
457,Aruna Shakti Nursing Home,Orissa,Sambalpur,A.N. Guha Lane,768001,Cancer Treatment Center or Oncology Hospital,Government,4.1
458,Arunn Surgery,Tamilnadu,Coimbatore,"Dr.Nanjappa Road,",641018,"ENT Clinic -Ear, Nose, and Throat",Government,3.9
459,Arunodaya Deseret Eye Hospital,Haryana,Gurgaon,"# Nh 4, Sector-55, Gurgaon, Haryana",122003,Cardiology Center,Proprietary,4.6
460,Arunodaya Health Care,West Bengal,Hooghly,"Lichubagan, Po-Garalgacha,P.S-Dankuni.",712708,Cancer Treatment Center or Oncology Hospital,Proprietary,3.6
461,Arunodaya Hospitals,Karnataka,Bangalore,"# 18-23,4Th And 5Th Cross Mallasandra Main Road",560057,"ENT Clinic -Ear, Nose, and Throat",Private,4.2
462,Arunpriya Nursing Home,Tamilnadu,Nagapattanam,"3&4, Pattamangalam Street,Nagapattinam",609001,General Hospital,Proprietary,5
463,Arushi Medical Centre,Uttar Pradesh,Lucknow,"B-1/31, Sector-K, Aliganj, Lucknow - 226024",226022,"ENT Clinic -Ear, Nose, and Throat",Proprietary,3.9
464,Arvind Hospital Pvt Ltd,Bihar,Patna,"Ashok Rajpath,Opp.Pmch,",800004,Orthopedic Hospital or Clinic,Government,3.9
465,Arvinth Hospital,Tamilnadu,Namakkal,"# 17, Rangar Sannathi Street,Namakkal- 637001",637001,Cardiology Center,Government,3.2
466,Arya Hospital,Delhi,Delhi,"C-1/101.Pankha Road,Janak Puri,New Delhi West,",110058,Orthopedic Hospital or Clinic,Voluntary non-profit ,4
467,Arya Hospital Pvt Ltd,Punjab,Chandigarh,"Sco-801, Manimajra",160101,Psychiatric Hospital or Mental Health Clinic,Voluntary non-profit ,4
468,Arya Medical Centre,Karnataka,Ankola,Dinkar Desai Road.,581314,Maternity Hospital or Birthing Center,Proprietary,3.9
469,Asarfi Hospital Pvt Ltd,Jharkhand,Dhanbad,"At Baramuri Po,Bishanpur,Dhanbad",828130,Dental Clinic,Proprietary,3.3
470,Asg Eye Hospital Ltd-Jaipur,Rajasthan,Jaipur,"D-247, Bihari Marg, Bani Park, Opp. K.P. Auto, Jaipur, Rajasthan",302005,Maternity Hospital or Birthing Center,Voluntary non-profit ,3.6
471,Asg Eye Hospital Ltd-Jodhpur,Rajasthan,Jodhpur,"A-322, Shastri Nagar, Jodhpur, Rajasthan",342003,Pediatric Hospital,Private,3.3
472,Asha Hospital,Andhra Pradesh,Hyderabad,"H.No.19-66/11,Prashanagar Phase Ii,Behind Spencers, Hitention Road,Kapra",500062,Dental Clinic,Private,3.7
473,Asha Hospital,Maharashtra,Mumbai,"# 1, Akurli Cross Road, Kandivli East,Premaskram Manidr Lane,",400101,Cardiology Center,Voluntary non-profit ,3.7
474,Asha Hospital,Maharashtra,Nagpur,"#7,Near Lekhanagar,Cantonment,Kamptee",441001,"ENT Clinic -Ear, Nose, and Throat",Proprietary,4.5
475,Asha Hospital& Iccu,Maharashtra,Mumbai,"Plot # 134,Sect 4, Aniatic Society, Airoli,Navi Mumbai-400708",400708,Cardiology Center,Private,3.3
476,Asha Maternity & Childrens Hospital,Maharashtra,Jalgaon,"Ganesh Raod, Chalishoon Dist,",424101,Cardiology Center,Government,3.7
477,Asha Maternity & General Hospital,Maharashtra,Mumbai,"Pooja Building, Pushpa Park, Daftary Road, Malad East.",400097,General Hospital,Voluntary non-profit ,4.4
478,Asha Orthopaedic Hospital,Maharashtra,Mumbai,"Bashi Kalingar,#2,Geetha Bhavan Lane Off,Navghar Road,Bhayander East,Thane",401105,Eye Hospital or Ophthalmology Clinic,Private,3.4
479,Asha Polyclinic & Shetal Nursing Home,Maharashtra,Mumbai,"145, 60 Feet Road,Opp.Uti Bank,Ghatkopar(E)-400077Chatkopur (E), Mumbai - 400077",400077,Pediatric Hospital,Government,3.7
480,Ashirvad Hospital,Karnataka,Chickmangalur,"Rathnagiri Road,",577101,Dental Clinic,Voluntary non-profit ,4.3
481,Ashirwad Children & Surgical Hospital,Maharashtra,Mumbai,"No.301-306,Ruby Monarch Bldg,Sakivihar Road,Sakinaka,Opp.Post Office,",400072,Maternity Hospital or Birthing Center,Proprietary,4.6
